Job_Title,Job_Role,Company,Location,Job_Description,User_Skills,Job_Requirements,Experience,Salary_Range,Rating
Prompt Engineer,Prompt Engineer,Zomato,Delhi,Design and optimize prompts for LLMs. Evaluate model outputs. Build AI-powered applications. Work with GPT and Claude APIs.,"Python, NLP, LLMs, Prompt Engineering, OpenAI API, HuggingFace, Communication","Python, NLP, LLMs, Prompt Engineering, OpenAI API, HuggingFace, Communication",1-3 years,10-20 LPA,3.7
Ethical Hacker,Ethical Hacker,BYJU's,Delhi,Perform penetration testing on systems and applications. Identify and report security vulnerabilities. Work with dev teams to patch issues.,"Penetration Testing, Kali Linux, Metasploit, Burp Suite, Python, Networking, OWASP","Penetration Testing, Kali Linux, Metasploit, Burp Suite, Python, Networking, OWASP",2-5 years,10-18 LPA,3.8
Java Developer,Java Developer,Wipro,Kolkata,Design and build enterprise Java applications. Work with Spring Boot and microservices. Write unit tests and participate in code reviews.,"Java, Spring Boot, Microservices, SQL, Maven, Git, REST API, JUnit, Hibernate","Java, Spring Boot, Microservices, SQL, Maven, Git, REST API, JUnit, Hibernate",2-4 years,8-15 LPA,4.8
NLP Engineer,NLP Engineer,Paytm,Delhi,Develop natural language processing models. Build text classification and extraction systems. Work on chatbots and conversational AI.,"Python, NLP, BERT, SpaCy, NLTK, TensorFlow, Transformers, HuggingFace","Python, NLP, BERT, SpaCy, NLTK, TensorFlow, Transformers, HuggingFace",2-5 years,12-20 LPA,4.4
Data Analyst,Data Analyst,TCS,Pune,Collect and interpret data to identify trends. Create dashboards and reports. Work with business teams to define KPIs. Use SQL and Excel for analysis.,"SQL, Excel, Power BI, Tableau, Python, Data Cleaning, Statistics, Google Analytics","SQL, Excel, Power BI, Tableau, Python, Data Cleaning, Statistics, Google Analytics",0-2 years,4-8 LPA,4.7
Game Developer,Game Developer,Zomato,Delhi,Design and build video games. Work with Unity or Unreal Engine. Implement game mechanics and physics. Optimize performance.,"C#, C++, Unity, Unreal Engine, Game Design, Python, Git, 3D Modeling, Physics","C#, C++, Unity, Unreal Engine, Game Design, Python, Git, 3D Modeling, Physics",2-5 years,8-16 LPA,3.1
iOS Developer,iOS Developer,Freshworks,Remote,Build native iOS applications using Swift. Work with Xcode and Apple frameworks. Follow App Store guidelines. Integrate backend services.,"Swift, Objective-C, Xcode, UIKit, SwiftUI, REST API, CoreData, Git, Firebase","Swift, Objective-C, Xcode, UIKit, SwiftUI, REST API, CoreData, Git, Firebase",2-4 years,8-16 LPA,4.4
Frontend Developer,Frontend Developer,Wipro,Noida,Build responsive and interactive web interfaces. Work with modern JavaScript frameworks. Optimize performance. Ensure cross-browser compatibility.,"JavaScript, React, Angular, Vue.js, HTML5, CSS3, TypeScript, Git, Webpack","JavaScript, React, Angular, Vue.js, HTML5, CSS3, TypeScript, Git, Webpack",1-3 years,6-12 LPA,3.1
Java Developer,Java Developer,Paytm,Kolkata,Design and build enterprise Java applications. Work with Spring Boot and microservices. Write unit tests and participate in code reviews.,"Java, Spring Boot, Microservices, SQL, Maven, Git, REST API, JUnit, Hibernate","Java, Spring Boot, Microservices, SQL, Maven, Git, REST API, JUnit, Hibernate",2-4 years,8-15 LPA,4.4
Security Engineer,Security Engineer,Amazon,Hyderabad,Design and implement security systems. Conduct threat modeling. Develop security tools and scripts. Respond to security incidents.,"Python, AWS Security, IAM, Cryptography, Linux, Firewalls, DevSecOps, SIEM","Python, AWS Security, IAM, Cryptography, Linux, Firewalls, DevSecOps, SIEM",3-6 years,14-24 LPA,3.4
Scrum Master,Scrum Master,Paytm,Kolkata,Facilitate agile ceremonies. Remove impediments for the team. Coach teams on agile practices. Track sprint progress.,"Agile, Scrum, Jira, Confluence, Kanban, Communication, Leadership, Risk Management","Agile, Scrum, Jira, Confluence, Kanban, Communication, Leadership, Risk Management",2-5 years,10-18 LPA,3.7
Mobile App Developer,Mobile App Developer,Swiggy,Bangalore,Develop Android and iOS mobile applications. Work with React Native or Flutter. Integrate with backend APIs. Publish apps to stores.,"React Native, Flutter, Android, iOS, JavaScript, Dart, REST API, Git, Firebase","React Native, Flutter, Android, iOS, JavaScript, Dart, REST API, Git, Firebase",2-4 years,8-15 LPA,4.5
AI Research Scientist,AI Research Scientist,Wipro,Noida,Conduct research in deep learning and NLP. Publish papers and implement novel algorithms. Work on cutting-edge AI problems.,"Python, PyTorch, TensorFlow, NLP, Computer Vision, Research, Mathematics, CUDA","Python, PyTorch, TensorFlow, NLP, Computer Vision, Research, Mathematics, CUDA",3-6 years,20-35 LPA,3.4
Game Developer,Game Developer,Microsoft India,Mumbai,Design and build video games. Work with Unity or Unreal Engine. Implement game mechanics and physics. Optimize performance.,"C#, C++, Unity, Unreal Engine, Game Design, Python, Git, 3D Modeling, Physics","C#, C++, Unity, Unreal Engine, Game Design, Python, Git, 3D Modeling, Physics",2-5 years,8-16 LPA,3.7
Growth Hacker,Growth Hacker,Accenture,Hyderabad,Drive user acquisition and retention. Run experiments and A/B tests. Analyze funnel metrics. Work with product and marketing teams.,"Python, SQL, Analytics, A/B Testing, SEO, Email Marketing, Excel, Communication","Python, SQL, Analytics, A/B Testing, SEO, Email Marketing, Excel, Communication",2-4 years,8-14 LPA,3.8
Web Designer,Web Designer,Microsoft India,Pune,"Design visually appealing websites. Work with HTML, CSS, and JavaScript. Ensure responsive design. Collaborate with marketing teams.","HTML, CSS, JavaScript, Figma, Adobe Creative Suite, Bootstrap, WordPress","HTML, CSS, JavaScript, Figma, Adobe Creative Suite, Bootstrap, WordPress",1-3 years,4-8 LPA,4.6
Ethical Hacker,Ethical Hacker,BYJU's,Pune,Perform penetration testing on systems and applications. Identify and report security vulnerabilities. Work with dev teams to patch issues.,"Penetration Testing, Kali Linux, Metasploit, Burp Suite, Python, Networking, OWASP","Penetration Testing, Kali Linux, Metasploit, Burp Suite, Python, Networking, OWASP",2-5 years,10-18 LPA,4.8
Cloud Engineer,Cloud Engineer,Accenture,Hyderabad,Design and manage cloud infrastructure. Migrate on-premise systems to cloud. Optimize cloud costs. Ensure security and compliance.,"AWS, Azure, GCP, Terraform, Docker, Kubernetes, Python, Linux, Security","AWS, Azure, GCP, Terraform, Docker, Kubernetes, Python, Linux, Security",2-5 years,12-20 LPA,3.8
Frontend Developer,Frontend Developer,TechCorp,Noida,Build responsive and interactive web interfaces. Work with modern JavaScript frameworks. Optimize performance. Ensure cross-browser compatibility.,"JavaScript, React, Angular, Vue.js, HTML5, CSS3, TypeScript, Git, Webpack","JavaScript, React, Angular, Vue.js, HTML5, CSS3, TypeScript, Git, Webpack",1-3 years,6-12 LPA,4.1
Business Intelligence Analyst,Business Intelligence Analyst,Swiggy,Noida,Build BI dashboards. Analyze business performance data. Create automated reports. Work with stakeholders to understand data needs.,"Tableau, Power BI, SQL, Excel, Python, Data Modeling, ETL, SSRS","Tableau, Power BI, SQL, Excel, Python, Data Modeling, ETL, SSRS",1-3 years,6-12 LPA,3.3
Automation Test Engineer,Automation Test Engineer,Zomato,Mumbai,Build and maintain test automation frameworks. Write scripts for regression testing. Integrate tests into CI/CD pipelines.,"Selenium, Python, Java, Jenkins, CI/CD, Cucumber, REST API, Postman, Git","Selenium, Python, Java, Jenkins, CI/CD, Cucumber, REST API, Postman, Git",2-4 years,7-13 LPA,3.7
Data Engineer,Data Engineer,Microsoft India,Hyderabad,Build and maintain data pipelines. Design data warehouses. Work with big data technologies. Ensure data quality and reliability.,"Python, Spark, Hadoop, SQL, Airflow, Kafka, AWS, GCP, ETL, Scala","Python, Spark, Hadoop, SQL, Airflow, Kafka, AWS, GCP, ETL, Scala",2-4 years,10-16 LPA,4.4
Robotics Engineer,Robotics Engineer,Microsoft India,Delhi,Design and program robotic systems. Work with ROS and sensor integration. Develop control algorithms. Test and validate robots.,"Python, C++, ROS, Control Systems, Sensor Fusion, SLAM, Linux, Computer Vision","Python, C++, ROS, Control Systems, Sensor Fusion, SLAM, Linux, Computer Vision",3-6 years,12-22 LPA,4.2
Data Science Manager,Data Science Manager,Freshworks,Hyderabad,Lead a team of data scientists. Define data strategy. Oversee model development and deployment. Present insights to executives.,"Python, Machine Learning, Leadership, SQL, Communication, Strategy, Statistics, Tableau","Python, Machine Learning, Leadership, SQL, Communication, Strategy, Statistics, Tableau",6-10 years,25-45 LPA,3.7
Healthcare Data Analyst,Healthcare Data Analyst,TCS,Remote,Analyze patient and clinical data. Build dashboards for healthcare KPIs. Ensure data compliance and privacy. Support clinical research.,"SQL, Python, R, Tableau, Healthcare Analytics, HIPAA, Excel, Statistics","SQL, Python, R, Tableau, Healthcare Analytics, HIPAA, Excel, Statistics",2-4 years,7-13 LPA,4.6
Cloud Engineer,Cloud Engineer,InfoSys,Mumbai,Design and manage cloud infrastructure. Migrate on-premise systems to cloud. Optimize cloud costs. Ensure security and compliance.,"AWS, Azure, GCP, Terraform, Docker, Kubernetes, Python, Linux, Security","AWS, Azure, GCP, Terraform, Docker, Kubernetes, Python, Linux, Security",2-5 years,12-20 LPA,5.0
Database Administrator,Database Administrator,Freshworks,Pune,Manage and optimize databases. Ensure data integrity and security. Perform backups and recovery. Monitor database performance.,"SQL, MySQL, PostgreSQL, Oracle, MongoDB, Performance Tuning, Backup, Linux","SQL, MySQL, PostgreSQL, Oracle, MongoDB, Performance Tuning, Backup, Linux",2-5 years,8-14 LPA,4.2
Machine Learning Engineer,Machine Learning Engineer,Swiggy,Chennai,Design and implement ML pipelines. Deploy models to production. Optimize algorithms for performance. Collaborate with data scientists and engineers.,"Python, TensorFlow, PyTorch, Scikit-learn, MLOps, Docker, Kubernetes, REST API, Git, Linux","Python, TensorFlow, PyTorch, Scikit-learn, MLOps, Docker, Kubernetes, REST API, Git, Linux",2-5 years,10-18 LPA,3.7
Java Developer,Java Developer,InfoSys,Pune,Design and build enterprise Java applications. Work with Spring Boot and microservices. Write unit tests and participate in code reviews.,"Java, Spring Boot, Microservices, SQL, Maven, Git, REST API, JUnit, Hibernate","Java, Spring Boot, Microservices, SQL, Maven, Git, REST API, JUnit, Hibernate",2-4 years,8-15 LPA,3.2
Android Developer,Android Developer,Google India,Kolkata,Build native Android applications. Work with Kotlin and Java. Integrate APIs and local databases. Follow Material Design guidelines.,"Kotlin, Java, Android SDK, REST API, SQLite, Firebase, Git, MVVM, Jetpack","Kotlin, Java, Android SDK, REST API, SQLite, Firebase, Git, MVVM, Jetpack",1-3 years,6-12 LPA,4.5
DevOps Engineer,DevOps Engineer,Zoho,Bangalore,Manage CI/CD pipelines. Automate infrastructure using IaC. Monitor systems and ensure uptime. Collaborate with development teams.,"Docker, Kubernetes, Jenkins, AWS, Terraform, Ansible, Linux, Git, CI/CD, Python","Docker, Kubernetes, Jenkins, AWS, Terraform, Ansible, Linux, Git, CI/CD, Python",2-5 years,10-18 LPA,4.9
Android Developer,Android Developer,Flipkart,Mumbai,Build native Android applications. Work with Kotlin and Java. Integrate APIs and local databases. Follow Material Design guidelines.,"Kotlin, Java, Android SDK, REST API, SQLite, Firebase, Git, MVVM, Jetpack","Kotlin, Java, Android SDK, REST API, SQLite, Firebase, Git, MVVM, Jetpack",1-3 years,6-12 LPA,3.0
Database Developer,Database Developer,TCS,Mumbai,Design and develop database schemas. Write complex queries and stored procedures. Optimize query performance. Work with application teams.,"SQL, PL/SQL, MySQL, PostgreSQL, MongoDB, Query Optimization, ETL, Python","SQL, PL/SQL, MySQL, PostgreSQL, MongoDB, Query Optimization, ETL, Python",2-4 years,7-12 LPA,3.9
Blockchain Developer,Blockchain Developer,Wipro,Chennai,Develop smart contracts and decentralized applications. Work with Ethereum and Solidity. Integrate blockchain with backend systems.,"Solidity, Ethereum, Web3.js, Python, JavaScript, Smart Contracts, Cryptography, Git","Solidity, Ethereum, Web3.js, Python, JavaScript, Smart Contracts, Cryptography, Git",2-5 years,12-22 LPA,4.0
Site Reliability Engineer,Site Reliability Engineer,Flipkart,Mumbai,Ensure reliability and performance of production systems. Automate operations. Define SLOs and SLAs. Respond to incidents.,"Linux, Python, Go, Kubernetes, Prometheus, Grafana, CI/CD, AWS, Incident Management","Linux, Python, Go, Kubernetes, Prometheus, Grafana, CI/CD, AWS, Incident Management",3-6 years,14-24 LPA,3.4
Quantitative Analyst,Quantitative Analyst,Paytm,Delhi,Develop statistical models for financial data. Analyze market trends and patterns. Build risk models and trading algorithms.,"Python, R, Statistics, Machine Learning, SQL, Excel, Financial Modeling, Pandas","Python, R, Statistics, Machine Learning, SQL, Excel, Financial Modeling, Pandas",2-4 years,15-25 LPA,4.4
Blockchain Developer,Blockchain Developer,Microsoft India,Kolkata,Develop smart contracts and decentralized applications. Work with Ethereum and Solidity. Integrate blockchain with backend systems.,"Solidity, Ethereum, Web3.js, Python, JavaScript, Smart Contracts, Cryptography, Git","Solidity, Ethereum, Web3.js, Python, JavaScript, Smart Contracts, Cryptography, Git",2-5 years,12-22 LPA,4.0
Game Developer,Game Developer,Accenture,Bangalore,Design and build video games. Work with Unity or Unreal Engine. Implement game mechanics and physics. Optimize performance.,"C#, C++, Unity, Unreal Engine, Game Design, Python, Git, 3D Modeling, Physics","C#, C++, Unity, Unreal Engine, Game Design, Python, Git, 3D Modeling, Physics",2-5 years,8-16 LPA,3.3
Android Developer,Android Developer,Google India,Noida,Build native Android applications. Work with Kotlin and Java. Integrate APIs and local databases. Follow Material Design guidelines.,"Kotlin, Java, Android SDK, REST API, SQLite, Firebase, Git, MVVM, Jetpack","Kotlin, Java, Android SDK, REST API, SQLite, Firebase, Git, MVVM, Jetpack",1-3 years,6-12 LPA,3.8
Security Engineer,Security Engineer,Freshworks,Hyderabad,Design and implement security systems. Conduct threat modeling. Develop security tools and scripts. Respond to security incidents.,"Python, AWS Security, IAM, Cryptography, Linux, Firewalls, DevSecOps, SIEM","Python, AWS Security, IAM, Cryptography, Linux, Firewalls, DevSecOps, SIEM",3-6 years,14-24 LPA,3.1
Data Science Manager,Data Science Manager,Microsoft India,Mumbai,Lead a team of data scientists. Define data strategy. Oversee model development and deployment. Present insights to executives.,"Python, Machine Learning, Leadership, SQL, Communication, Strategy, Statistics, Tableau","Python, Machine Learning, Leadership, SQL, Communication, Strategy, Statistics, Tableau",6-10 years,25-45 LPA,3.5
Site Reliability Engineer,Site Reliability Engineer,Amazon,Pune,Ensure reliability and performance of production systems. Automate operations. Define SLOs and SLAs. Respond to incidents.,"Linux, Python, Go, Kubernetes, Prometheus, Grafana, CI/CD, AWS, Incident Management","Linux, Python, Go, Kubernetes, Prometheus, Grafana, CI/CD, AWS, Incident Management",3-6 years,14-24 LPA,3.6
Machine Learning Engineer,Machine Learning Engineer,Paytm,Chennai,Design and implement ML pipelines. Deploy models to production. Optimize algorithms for performance. Collaborate with data scientists and engineers.,"Python, TensorFlow, PyTorch, Scikit-learn, MLOps, Docker, Kubernetes, REST API, Git, Linux","Python, TensorFlow, PyTorch, Scikit-learn, MLOps, Docker, Kubernetes, REST API, Git, Linux",2-5 years,10-18 LPA,4.5
Blockchain Developer,Blockchain Developer,Freshworks,Noida,Develop smart contracts and decentralized applications. Work with Ethereum and Solidity. Integrate blockchain with backend systems.,"Solidity, Ethereum, Web3.js, Python, JavaScript, Smart Contracts, Cryptography, Git","Solidity, Ethereum, Web3.js, Python, JavaScript, Smart Contracts, Cryptography, Git",2-5 years,12-22 LPA,3.2
Backend Developer,Backend Developer,Freshworks,Noida,Develop server-side logic and APIs. Work with databases and cloud services. Ensure scalability and performance. Write documentation.,"Node.js, Python, Java, SQL, NoSQL, REST API, GraphQL, Docker, AWS","Node.js, Python, Java, SQL, NoSQL, REST API, GraphQL, Docker, AWS",2-4 years,8-14 LPA,5.0
Blockchain Developer,Blockchain Developer,InfoSys,Delhi,Develop smart contracts and decentralized applications. Work with Ethereum and Solidity. Integrate blockchain with backend systems.,"Solidity, Ethereum, Web3.js, Python, JavaScript, Smart Contracts, Cryptography, Git","Solidity, Ethereum, Web3.js, Python, JavaScript, Smart Contracts, Cryptography, Git",2-5 years,12-22 LPA,4.2
Robotics Engineer,Robotics Engineer,Amazon,Pune,Design and program robotic systems. Work with ROS and sensor integration. Develop control algorithms. Test and validate robots.,"Python, C++, ROS, Control Systems, Sensor Fusion, SLAM, Linux, Computer Vision","Python, C++, ROS, Control Systems, Sensor Fusion, SLAM, Linux, Computer Vision",3-6 years,12-22 LPA,3.9
Automation Test Engineer,Automation Test Engineer,Microsoft India,Noida,Build and maintain test automation frameworks. Write scripts for regression testing. Integrate tests into CI/CD pipelines.,"Selenium, Python, Java, Jenkins, CI/CD, Cucumber, REST API, Postman, Git","Selenium, Python, Java, Jenkins, CI/CD, Cucumber, REST API, Postman, Git",2-4 years,7-13 LPA,3.6
Java Developer,Java Developer,Accenture,Noida,Design and build enterprise Java applications. Work with Spring Boot and microservices. Write unit tests and participate in code reviews.,"Java, Spring Boot, Microservices, SQL, Maven, Git, REST API, JUnit, Hibernate","Java, Spring Boot, Microservices, SQL, Maven, Git, REST API, JUnit, Hibernate",2-4 years,8-15 LPA,3.7
iOS Developer,iOS Developer,Microsoft India,Pune,Build native iOS applications using Swift. Work with Xcode and Apple frameworks. Follow App Store guidelines. Integrate backend services.,"Swift, Objective-C, Xcode, UIKit, SwiftUI, REST API, CoreData, Git, Firebase","Swift, Objective-C, Xcode, UIKit, SwiftUI, REST API, CoreData, Git, Firebase",2-4 years,8-16 LPA,4.7
Python Developer,Python Developer,Amazon,Pune,Develop backend services using Python and Django/Flask. Write clean and maintainable code. Work in agile environment. Integrate with databases and APIs.,"Python, Django, Flask, REST API, SQL, Git, Docker, Linux, PostgreSQL, Redis","Python, Django, Flask, REST API, SQL, Git, Docker, Linux, PostgreSQL, Redis",1-3 years,6-12 LPA,3.0
Bioinformatics Engineer,Bioinformatics Engineer,Amazon,Pune,Analyze genomic and biological data. Build pipelines for data processing. Apply ML to biological datasets. Collaborate with researchers.,"Python, R, Bioinformatics, Machine Learning, Linux, SQL, Statistics, NextFlow","Python, R, Bioinformatics, Machine Learning, Linux, SQL, Statistics, NextFlow",2-5 years,10-18 LPA,4.5
